['45', '230', '48', '418', '33']
['2', '41', '107', '247', '91']
['24', '314', '129', '190', '466']
['12', '153', '208', '275', '165']
['379', '321', '288', '354', '362']
['337', '433', '58', '443', '111']
['358', '394', '421', '120', '202']
['186', '298', '14', '430', '484']
['301', '86', '94', '415', '374']
['261', '177', '455', '405', '389']
['472', '483', '446', '274', '211']
['391', '182', '451', '438', '43']
['216', '271', '109', '486', '471']
['369', '313', '65', '184', '195']
['61', '60', '49', '487', '143']
['489', '85', '440', '401', '439']
['307', '132', '494', '498', '93']
['35', '493', '457', '319', '352']
['245', '221', '66', '131', '315']
['26', '150', '98', '429', '372']
['206', '289', '210', '263', '458']
['277', '251', '398', '320', '426']
['393', '294', '392', '124', '447']
['233', '52', '334', '316', '174']
['212', '412', '29', '220', '488']
['273', '113', '213', '363', '234']
['15', '303', '0', '404', '390']
['402', '137', '414', '218', '168']
['269', '413', '267', '198', '332']
['28', '63', '343', '351', '386']
['323', '417', '367', '205', '328']
['460', '299', '161', '268', '454']
['62', '223', '253', '348', '264']
['491', '335', '185', '76', '290']
['101', '448', '187', '341', '204']
['310', '461', '169', '74', '445']
['38', '282', '249', '266', '84']
['380', '309', '450', '241', '331']
['87', '428', '339', '495', '194']
['31', '366', '36', '284', '479']
['424', '183', '70', '345', '170']
['480', '90', '193', '373', '327']
['79', '19', '441', '432', '17']
['408', '317', '209', '399', '465']
['81', '388', '387', '114', '40']
['154', '99', '311', '255', '50']
['236', '355', '318', '225', '57']
['259', '336', '235', '357', '22']
['68', '242', '353', '248', '232']
['485', '463', '5', '25', '151']
['469', '384', '252', '18', '490']
['10', '47', '295', '115', '344']
['180', '178', '228', '30', '92']
['207', '77', '126', '219', '141']
['342', '152', '16', '416', '371']
['297', '197', '257', '69', '125']
['360', '122', '476', '37', '395']
['140', '56', '67', '481', '333']
['329', '427', '215', '496', '123']
['176', '199', '191', '378', '162']
['246', '270', '64', '423', '434']
['39', '302', '340', '13', '368']
['478', '83', '6', '258', '497']
['409', '172', '134', '78', '459']
['350', '32', '474', '108', '278']
['272', '492', '128', '147', '23']
['163', '144', '106', '138', '444']
['464', '300', '347', '112', '453']
['80', '53', '121', '238', '95']
['196', '142', '71', '364', '437']
['146', '166', '356', '229', '322']
['214', '262', '240', '422', '173']
['110', '203', '160', '359', '34']
['167', '116', '468', '376', '410']
['452', '119', '381', '403', '420']
['382', '346', '149', '435', '102']
['419', '145', '330', '179', '217']
['139', '470', '72', '400', '312']
['375', '406', '370', '1', '105']
['467', '51', '361', '133', '243']
['224', '475', '456', '280', '256']
['283', '44', '254', '171', '136']
['82', '96', '291', '222', '477']
['431', '462', '308', '237', '181']
['411', '89', '75', '383', '338']
['385', '397', '250', '227', '155']
['292', '164', '482', '103', '239']
['276', '127', '88', '188', '287']
['365', '499', '159', '175', '8']
['425', '296', '156', '306', '117']
['42', '304', '326', '7', '54']
['3', '97', '305', '265', '20']
['231', '200', '100', '244', '449']
['279', '135', '27', '73', '130']
['104', '158', '407', '157', '192']
['473', '11', '226', '55', '148']
['118', '293', '260', '325', '281']
['436', '324', '4', '9', '442']
['46', '377', '349', '59', '396']
['286', '21', '201', '285', '189']
