['52', '298', '123', '460', '62']
['484', '247', '381', '366', '287']
['1', '372', '38', '7', '319']
['208', '304', '359', '329', '332']
['81', '485', '74', '427', '334']
['161', '152', '106', '252', '77']
['292', '133', '312', '170', '12']
['97', '386', '99', '305', '191']
['100', '437', '6', '263', '40']
['96', '496', '210', '293', '219']
['177', '162', '306', '403', '254']
['368', '22', '221', '461', '15']
['384', '195', '439', '232', '92']
['240', '351', '151', '44', '223']
['318', '119', '379', '333', '430']
['164', '340', '341', '458', '155']
['369', '184', '280', '28', '302']
['448', '256', '145', '396', '207']
['370', '115', '228', '467', '187']
['466', '146', '203', '14', '159']
['192', '404', '457', '429', '63']
['114', '197', '373', '278', '137']
['32', '436', '391', '380', '47']
['113', '2', '244', '471', '330']
['336', '112', '25', '251', '286']
['453', '360', '218', '346', '459']
['352', '209', '18', '121', '141']
['181', '72', '57', '120', '206']
['323', '419', '19', '490', '108']
['48', '36', '134', '349', '173']
['480', '147', '343', '10', '158']
['339', '487', '409', '348', '445']
['50', '227', '375', '297', '412']
['344', '213', '469', '440', '76']
['64', '450', '324', '103', '9']
['29', '405', '374', '425', '489']
['499', '101', '56', '361', '283']
['289', '385', '264', '395', '143']
['294', '39', '71', '42', '79']
['316', '91', '11', '140', '174']
['275', '55', '186', '394', '335']
['418', '165', '249', '105', '377']
['144', '17', '438', '136', '331']
['432', '498', '309', '182', '491']
['308', '233', '378', '347', '157']
['224', '226', '420', '168', '171']
['193', '483', '180', '326', '270']
['387', '198', '488', '234', '235']
['417', '261', '231', '462', '495']
['400', '434', '311', '393', '190']
['325', '24', '473', '122', '476']
['313', '243', '175']
['201', '475', '268', '245']
['217', '362', '299', '493', '446']
['273', '3', '260', '470', '189']
['353', '98', '408', '392', '204']
['49', '82', '84', '58', '126']
['241', '51', '389', '215', '59']
['129', '354', '185', '104', '169']
['371', '148', '20', '8', '428']
['83', '441', '363', '365', '142']
['296', '236', '124', '376']
['288', '338', '277', '150', '269']
['176', '199', '107', '295', '110']
['474', '364', '61', '382', '383']
['272', '449', '481', '307', '183']
['34', '259', '472', '200', '477']
['53', '23', '456', '279', '303']
['194', '402', '196', '54', '138']
['102', '358', '230', '60', '46']
['337', '67', '87', '281', '397']
['465', '422', '342', '350', '367']
['290', '355', '262', '156', '478']
['416', '178', '85', '285', '30']
['33', '166', '301', '414', '255']
['160', '179', '116', '413', '415']
['401', '451', '212', '70', '239']
['66', '73', '426', '317', '109']
['274', '37', '248', '45', '271']
['16', '321', '225', '479', '31']
['80', '131', '266', '411', '111']
['435', '276', '89', '43', '13']
['128', '421', '406', '202', '127']
['0', '211', '167', '443', '399']
['482', '242', '345', '315', '494']
['486', '118', '250', '267', '431']
['464', '188', '149', '310']
['65', '452', '69', '41', '442']
['320', '229', '86', '282', '75']
['388', '88', '139', '237', '78']
['455', '90', '172', '205', '447']
['220', '357', '390', '444', '398']
['257', '21', '454', '424', '463']
['258', '35', '132', '322', '154']
['433', '163', '214', '284', '94']
['216', '410', '27', '93', '95']
['130', '4', '5', '135', '117']
['291', '423', '327', '492', '300']
['356', '328', '238', '468', '26']
['68', '246', '153', '253', '222']
['265', '497', '407', '314', '125']
